state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Varanasi,Groundnut,Kharif,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Unnao,Maize,Rabi,2020,2021,1.0,3.0,3.0,tonnes,tonnes/hectare
Uttar Pradesh,Aligarh,Jowar,Kharif,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Aligarh,Linseed,Rabi,2020,2021,57.0,32.0,0.56,tonnes,tonnes/hectare
Uttar Pradesh,Sultanpur,Groundnut,Kharif,2020,2021,18.0,22.0,1.22,tonnes,tonnes/hectare
Uttar Pradesh,Aligarh,Turmeric,Rabi,2020,2021,14.0,20.0,1.43,tonnes,tonnes/hectare
Uttar Pradesh,Sonbhadra,Maize,Summer,2020,2021,2.0,6.0,3.0,tonnes,tonnes/hectare
Uttar Pradesh,Allahabad,Small millets,Kharif,2020,2021,25.0,21.0,0.84,tonnes,tonnes/hectare
Uttar Pradesh,Ambedkar nagar,Linseed,Rabi,2020,2021,5.0,3.0,0.6,tonnes,tonnes/hectare
Uttar Pradesh,Shamli,Cotton(lint),Kharif,2020,2021,14.0,29.41,2.1,bales,bales/hectare
Uttar Pradesh,Shahjahanpur,Turmeric,Rabi,2020,2021,19.0,20.0,1.05,tonnes,tonnes/hectare
Uttar Pradesh,Shahjahanpur,Tobacco,Rabi,2020,2021,536.0,2370.0,4.42,tonnes,tonnes/hectare
Uttar Pradesh,Shahjahanpur,Soyabean,Kharif,2020,2021,47.0,79.0,1.68,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Rabi,2020,2021,73.0,193.0,2.64,tonnes,tonnes/hectare
Uttar Pradesh,Sant ravidas nagar,Linseed,Rabi,2020,2021,13.0,7.0,0.54,tonnes,tonnes/hectare
Uttar Pradesh,Sant ravidas nagar,Rice,Summer,2020,2021,192.0,665.0,3.46,tonnes,tonnes/hectare
Uttar Pradesh,Sant ravidas nagar,Cotton(lint),Kharif,2020,2021,35.0,76.47,2.18,bales,bales/hectare
Uttar Pradesh,Amroha,Maize,Rabi,2020,2021,21.0,56.0,2.67,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Gram,Rabi,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Onion,Summer,2020,2021,3.0,49.0,16.33,tonnes,tonnes/hectare
Uttar Pradesh,Sambhal,Urad,Summer,2020,2021,50.0,38.0,0.76,tonnes,tonnes/hectare
Uttar Pradesh,Sambhal,Turmeric,Rabi,2020,2021,6.0,6.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Rampur,Soyabean,Kharif,2020,2021,102.0,70.0,0.69,tonnes,tonnes/hectare
Uttar Pradesh,Rampur,Moong(Green Gram),Kharif,2020,2021,8.0,3.0,0.38,tonnes,tonnes/hectare
Uttar Pradesh,Rampur,Maize,Rabi,2020,2021,81.0,214.0,2.64,tonnes,tonnes/hectare
Uttar Pradesh,Baghpat,Gram,Rabi,2020,2021,11.0,13.0,1.18,tonnes,tonnes/hectare
Uttar Pradesh,Pilibhit,Urad,Kharif,2020,2021,72.0,84.0,1.17,tonnes,tonnes/hectare
Uttar Pradesh,Baghpat,Moong(Green Gram),Kharif,2020,2021,15.0,21.0,1.4,tonnes,tonnes/hectare
Uttar Pradesh,Pratapgarh,Groundnut,Kharif,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Muzaffarnagar,Onion,Summer,2020,2021,16.0,263.0,16.44,tonnes,tonnes/hectare
Uttar Pradesh,Muzaffarnagar,Maize,Rabi,2020,2021,33.0,87.0,2.64,tonnes,tonnes/hectare
Uttar Pradesh,Muzaffarnagar,Groundnut,Kharif,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Moradabad,Tobacco,Summer,2020,2021,8.0,23.0,2.88,tonnes,tonnes/hectare
Uttar Pradesh,Moradabad,Sunflower,Summer,2020,2021,31.0,43.0,1.39,tonnes,tonnes/hectare
Uttar Pradesh,Bahraich,Soyabean,Kharif,2020,2021,51.0,35.0,0.69,tonnes,tonnes/hectare
Uttar Pradesh,Mirzapur,Urad,Summer,2020,2021,5.0,4.0,0.8,tonnes,tonnes/hectare
Uttar Pradesh,Mirzapur,Tobacco,Rabi,2020,2021,34.0,150.0,4.41,tonnes,tonnes/hectare
Uttar Pradesh,Meerut,Turmeric,Rabi,2020,2021,7.0,10.0,1.43,tonnes,tonnes/hectare
