state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Agra,Arhar/Tur,Kharif,2020,2021,885.0,1587.0,1.79,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Arhar/Tur,Kharif,2021,2022,1005.0,1671.0,1.66,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Arhar/Tur,Kharif,2022,2023,886.0,1330.0,1.5,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Bajra,Kharif,2020,2021,114618.0,280514.0,2.45,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Bajra,Kharif,2021,2022,120854.0,287391.0,2.38,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Bajra,Kharif,2022,2023,115099.0,260814.0,2.27,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Barley,Rabi,2020,2021,6104.0,22684.0,3.72,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Barley,Rabi,2021,2022,7223.0,23634.0,3.27,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Barley,Rabi,2022,2023,7223.0,25165.0,3.48,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Coriander,Rabi,2020,2021,43.0,34.0,0.79,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Coriander,Rabi,2021,2022,43.0,32.0,0.74,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Coriander,Rabi,2022,2023,41.0,31.0,0.76,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Cotton(lint),Kharif,2020,2021,309.0,658.82,2.13,bales,bales/hectare
Uttar Pradesh,Agra,Cotton(lint),Kharif,2021,2022,385.0,148.0,0.38,bales,bales/hectare
Uttar Pradesh,Agra,Cotton(lint),Kharif,2022,2023,390.0,149.0,0.38,bales,bales/hectare
Uttar Pradesh,Agra,Dry chillies,Kharif,2020,2021,354.0,314.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Dry chillies,Kharif,2021,2022,355.0,314.0,0.88,tonnes,tonnes/hectare
Uttar Pradesh,Agra,Dry chillies,Kharif,2022,2023,357.0,332.0,0.93,tonnes,tonnes/hectare
