State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttar Pradesh,Agra,2025-01-17,2025,01,0.1139847949,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-17,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-18,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-20,2025,02,0.3643927194,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-21,2025,02,0.2888219581,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-24,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-26,2025,02,0.1409316921,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-27,2025,02,0.0004396833,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-01,2025,03,-4.9811e-06,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-03,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-04,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-07,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-20,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-06,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-11,2025,04,0.2791372179,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-17,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-18,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-25,2025,04,3.6292e-06,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-09,2025,05,0.5829665592,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-05,2025,06,0.2665887879,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-07,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-08,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-14,2025,06,1.7947185726,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-18,2025,06,15.7391499204,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-20,2025,06,16.0232538164,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-03,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-08,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-10,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-11,2025,01,0.9305744215,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-16,2025,01,4.9799244152,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-27,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-28,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-04,2025,02,0.7416180871,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-10,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-13,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-27,2025,02,0.0004396833,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-03,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-07,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-12,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-26,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-28,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-29,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-30,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-13,2025,04,0.0257764306,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-26,2025,04,0.0280182674,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-03,2025,05,2.4600056979,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-05,2025,05,0.2741275282,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-09,2025,05,0.5829665592,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-22,2025,05,2.913388295,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-24,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-25,2025,05,4.7241931711,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-02,2025,06,0.7261430437,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-04,2025,06,0.014580152,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-09,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-10,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-11,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-22,2025,06,1.2666283384,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-26,2025,06,2.1328978118,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-27,2025,06,0.4106676934,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-02,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-05,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-08,2025,01,0,NRSC VIC MODEL
